'Abatis' 100mm Steel Plates	铁网100mm钢附甲板
Dire Pithi Imputor	灾难皮希伊 输入者
Dire Pithi Infiltrator	灾难皮希伊 渗透者
Dire Pithi Invader	灾难皮希伊 入侵者
Dire Pithi Plunderer	灾难皮希伊 豪夺者
Dire Pithi Saboteur	灾难皮希伊 阴谋者
Dire Pithi Wrecker	灾难皮希伊 肇事者
Dire Pithum Abolisher	灾难皮特姆 废除者
Dire Pithum Annihilator	灾难皮特姆 歼灭者
Dire Pithum Ascriber	灾难皮特姆 起诉者
Dire Pithum Eraser	灾难皮特姆 消除者
Dire Pithum Inferno	灾难皮特姆 地狱来客
Dire Pithum Killer	灾难皮特姆 杀手
Dire Pithum Mortifier	灾难皮特姆 苦行者
Dire Pithum Murderer	灾难皮特姆 谋杀者
Dire Pithum Nullifier	灾难皮特姆 湮灭者
Dire Pithum Silencer	灾难皮特姆 灭音者
Dirty Bandit Shipyard	肮脏的强盗船坞
Dirty Shipyard	肮脏的船坞
DisX Stash	DisX包裹
Disabled Badger	抛锚的獾级
Disallow Activation In Warp	跃迁中无法激活
Disallow Docking	不允许停靠
Disallow Tethering	不允许驻留
Disallow activation in forcefield	力场中无法激活
Disallow against EW-immune target	不允许针对免疫电子战的目标
Disallows Assistance	不允许援助
Discovery Survey Probe I	发现号测量探针 I
Discovery Survey Probe I Blueprint	发现号测量探针蓝图 I
Disintegrator Alvum	分解者阿瓦姆
Disintegrator Drone	分解者无人机
Disjointed Talocan Outpost Conduit	断裂的塔洛迦哨站管道
Disjointed Talocan Outpost Hub	断裂的塔洛迦哨站枢纽
Dismantler Alvior	拆毁者阿维尔
Dismantler Drone	拆毁者无人机
Display Launcher	显示发射器
Disposal Unit	抛弃舱段
Disputed	争夺
Disruptable Station Services	可干扰的空间站服务
Disrupted Talocan Polestar	裂断的塔洛迦极地之星
Dissenters	异议者
Distribution	物流
Distribution Connections	物流关系学
Distribution Manager	分销经理
Distribution Manager	物流部经理
District Satellite	地区人造卫星
Ditanium Metal Plates	硬钛金属板
Divine Imperial Ambrose	圣皇安布罗斯
Divine Imperial Avenger	圣皇复仇者
Divine Imperial Bahir	圣皇巴西尔
Divine Imperial Basil	圣皇巴兹尔
Divine Imperial Champion	圣皇战士
Divine Imperial Equalizer	圣皇平衡者
Divine Imperial Felix	圣皇费利克斯
Divine Imperial Forian	圣皇弗利安
Divine Imperial Imran	圣皇艾米然
Divine Imperial Justicar	圣皇正义使者
Divine Imperial Nabih	圣皇纳比
Divine Imperial Napat	圣皇纳帕
Divine Imperial Paladin	圣皇帕拉丁
Divine Imperial Sixtus	圣皇西斯塔
Divine Imperial Sprite	圣皇斯拜特
Divine Imperial Tamir	圣皇塔米尔
Divine Imperial Valok	圣皇瓦洛克
Divine Imperial Wrath	圣皇震怒者
Divine Opium	神圣的药物
Divinity's Edge	神之边域
Docked & Loaded Mammoth	维护中的猛犸
Docked Bestower	停靠着的恩赐者级
Docked Mammoth	停靠的猛犸级
Docking	停靠
Doctor Luija Elban	鲁加·艾般博士
Doctored Arrivals & Departures Logs	修改过的进出港日志
Doctrine Ingrained Bonus	信条巩固加成
Does Not Require Clothing Type	不要求服饰类别
Dolls	玩偶
Domination	主天使
Domination 10000MN Afterburner	主天使10000MN加力燃烧器
Domination 10000MN Afterburner Blueprint	主天使10000MN加力燃烧器蓝图
Domination 100MN Afterburner	主天使100MN加力燃烧器
Domination 10MN Afterburner	主天使10MN加力燃烧器
Domination 1200mm Artillery	主天使1200mm火炮
Domination 125mm Autocannon	主天使125mm自动加农炮
Domination 1400mm Howitzer Artillery	主天使1400mm榴弹炮
Domination 150mm Autocannon	主天使150mm自动加农炮
Domination 1MN Afterburner	主天使1MN加力燃烧器
Domination 200mm Autocannon	主天使200mm自动加农炮
Domination 220mm Autocannon	主天使220mm自动加农炮
Domination 250mm Artillery	主天使250mm火炮
Domination 280mm Howitzer Artillery	主天使280mm榴弹炮
Domination 425mm Autocannon	主天使425mm自动加农炮
Domination 50000MN Microwarpdrive	主天使50000MN微型跃迁推进器
Domination 50000MN Microwarpdrive Blueprint	主天使50000MN微型跃迁推进器蓝图
Domination 500MN Microwarpdrive	主天使500MN微型跃迁推进器
Domination 50MN Microwarpdrive	主天使50MN微型跃迁推进器
Domination 5MN Microwarpdrive	主天使5MN微型跃迁推进器
Domination 650mm Artillery	主天使650mm火炮
Domination 720mm Howitzer Artillery	主天使720mm榴弹炮
Domination 800mm Repeating Cannon	主天使800mm频射加农炮
Domination Adaptive Invulnerability Field	主天使自适应全能力场
Domination Adaptive Nano Plating	主天使适应性纳米附甲
Domination Alvus	毁灭者阿瓦斯
Domination Ambusher	主天使 伏击者
Domination Armor EM Hardener	主天使装甲电磁增强器
Domination Armor Explosive Hardener	主天使装甲爆炸增强器
Domination Armor Kinetic Hardener	主天使装甲动能增强器
Domination Armor Thermal Hardener	主天使装甲热能增强器
Domination Ballistic Control System	主天使弹道控制系统
Domination Brass Tag	主天使黄铜铭牌
Domination Breaker	主天使 破阵者
Domination Bronze Tag	主天使青铜铭牌
Domination Capital Cap Battery	主天使旗舰级电容器电池
Domination Capital Cap Battery Blueprint	主天使旗舰级电容器电池蓝图
Domination Capital Flex Shield Hardener	主天使旗舰级弯曲护盾增强器
Domination Capital Flex Shield Hardener Blueprint	主天使旗舰级弯曲护盾增强器蓝图
Domination Capital Remote Shield Booster	主天使旗舰级远程护盾回充增量器
Domination Capital Remote Shield Booster Blueprint	主天使旗舰级远程护盾回充增量器蓝图
Domination Capital Shield Booster	主天使旗舰级护盾回充增量器
Domination Capital Shield Booster Blueprint	主天使旗舰级护盾回充增量器蓝图
Domination Capital Shield Extender	主天使旗舰级护盾扩展装置
Domination Capital Shield Extender Blueprint	主天使旗舰级护盾扩展装置蓝图
Domination Carbonized Lead L	主天使碳铅弹 L
Domination Carbonized Lead M	主天使碳铅弹 M
Domination Carbonized Lead S	主天使碳铅弹 S
Domination Carbonized Lead XL	主天使碳铅弹 XL
Domination Centurion	主天使 百人队长
Domination Cherubim	主天使 朱尔庇
Domination Commander	主天使 指挥官
Domination Control Tower	主天使控制塔
Domination Control Tower Blueprint	主天使控制塔蓝图
Domination Control Tower Medium	主天使中型控制塔
Domination Control Tower Medium Blueprint	主天使中型控制塔蓝图
Domination Control Tower Small	主天使小型控制塔
Domination Control Tower Small Blueprint	主天使小型控制塔蓝图
Domination Copper Tag	主天使铜质铭牌
Domination Cruise Missile Launcher	主天使巡航导弹发射器
Domination Crusher	主天使 碎裂者
Domination Crystal Tag	主天使水晶铭牌
Domination Defacer	主天使 割面者
Domination Defeater	主天使 击溃者
Domination Defiler	主天使 亵渎者
Domination Depleted Uranium L	主天使硬钼弹 L
Domination Depleted Uranium M	主天使硬钼弹 M
Domination Depleted Uranium S	主天使硬钼弹 S
Domination Depleted Uranium XL	主天使硬钼弹 XL
Domination Depredator	主天使 劫掠者
Domination Diamond Tag	主天使钻石铭牌
Domination Dreadnought	主天使无畏舰
Domination Drone	主天使无人机
Domination Dual 180mm Autocannon	主天使双联180mm自动加农炮
Domination Dual 425mm Autocannon	主天使双联425mm自动加农炮
Domination Dual 650mm Repeating Cannon	主天使双联650mm频射加农炮
Domination EM Plating	主天使电磁附甲
Domination EM Ward Amplifier	主天使电磁防护增效器
Domination EM Ward Field	主天使电磁防护力场
Domination EMP L	主天使电磁脉冲弹 L
Domination EMP M	主天使电磁脉冲弹 M
Domination EMP S	主天使电磁脉冲弹 S
Domination EMP XL	主天使电磁脉冲弹 XL
Domination Electrum Tag	主天使合金铭牌
Domination Excavator	主天使 挖掘者
Domination Explosive Deflection Amplifier	主天使爆炸偏阻增效器
Domination Explosive Deflection Field	主天使爆炸偏阻力场
Domination Explosive Plating	主天使爆炸附甲
Domination Fusion L	主天使聚变弹 L
Domination Fusion M	主天使聚变弹 M
Domination Fusion S	主天使聚变弹 S
Domination Fusion XL	主天使聚变弹 XL
Domination General	主天使 将军
Domination Gold Tag	主天使黄金铭牌
Domination Grigori	主天使 看守者
Domination Gyrostabilizer	主天使回转稳定器
Domination Haunter	主天使 猎人
Domination Heavy Assault Missile Launcher	主天使重型攻击导弹发射器
Domination Heavy Assault Missile Launcher Blueprint	主天使重型攻击导弹发射器蓝图
Domination Heavy Missile Launcher	主天使重型导弹发射器
Domination Heavy Stasis Grappler	主天使停滞捕捉光束
Domination Heavy Warp Disruptor	主天使重型跃迁扰断器
Domination Heavy Warp Disruptor Blueprint	主天使重型跃迁扰断器蓝图
Domination Heavy Warp Scrambler	主天使重型跃迁扰频器
Domination Heavy Warp Scrambler Blueprint	主天使重型跃迁扰频器蓝图
Domination Hexa 2500mm Repeating Cannon	主天使六联2500mm频射加农炮
Domination Hexa 2500mm Repeating Cannon Blueprint	主天使六联2500mm频射加农炮蓝图
Domination Hijacker	主天使 劫持者
Domination Hunter	主天使 猎人
Domination Impaler	主天使 穿刺者
Domination Inertial Stabilizers	主天使惯性稳定器
Domination Kinetic Deflection Amplifier	主天使动能偏阻增效器
Domination Kinetic Deflection Field	主天使动能偏阻力场
Domination Kinetic Plating	主天使动能附甲
Domination Large Armor Repairer	主天使大型装甲维修器
Domination Large Artillery Battery	主天使大型火炮塔台
Domination Large Artillery Battery Blueprint	主天使大型火炮塔台蓝图
Domination Large AutoCannon Battery	主天使大型自动加农炮塔台
Domination Large Autocannon Battery Blueprint	主天使大型自动加农炮塔台蓝图
Domination Large Cap Battery	主天使大型电容器电池
Domination Large Proton Smartbomb	主天使大型质子立体炸弹
Domination Large Shield Booster	主天使大型护盾回充增量器
Domination Legatus	主天使集团 将官
Domination Legionnaire	主天使集团 退伍军人
Domination Light Missile Launcher	主天使轻型导弹发射器
Domination Liquidator	主天使 屠灭者
Domination Malakim	主天使 摩拉基穆
Domination Marauder	主天使 掠夺者
Domination Medium Armor Repairer	主天使中型装甲维修器
Domination Medium Artillery Battery	主天使中型火炮塔台
Domination Medium Artillery Battery Blueprint	主天使中型火炮塔台蓝图
Domination Medium AutoCannon Battery	主天使中型自动加农炮塔台
Domination Medium Autocannon Battery Blueprint	主天使中型自动加农炮塔台蓝图
Domination Medium Cap Battery	主天使中型电容器电池
Domination Medium Proton Smartbomb	主天使中型质子立体炸弹
Domination Medium Shield Booster	主天使中型护盾回充增量器
Domination Micro Proton Smartbomb	主天使微型质子立体炸弹
Domination Nanofiber Structure	主天使纳米纤维构架
Domination Nephilim	主天使 捺菲力姆
Domination Nomad	主天使 游牧者
Domination Nova F.O.F. Cruise Missile I	主天使星爆F.O.F.巡航导弹 I
Domination Nova F.O.F. Heavy Missile I	主天使星爆F.O.F.重型导弹 I
Domination Nova F.O.F. Light Missile I	主天使星爆F.O.F.轻型导弹 I
Domination Nuclear L	主天使核芯弹 L
Domination Nuclear M	主天使核芯弹 M
Domination Nuclear S	主天使核芯弹 S
Domination Nuclear XL	主天使核芯弹 XL
Domination Outlaw	主天使 逃犯
Domination Overdrive Injector	主天使超载喷注器
Domination Palladium Tag	主天使钯金铭牌
Domination Phalanx	主天使 噬骨者
Domination Phased Plasma L	主天使定相等离子弹 L
Domination Phased Plasma M	主天使定相等离子弹 M
Domination Phased Plasma S	主天使定相等离子弹 S
Domination Phased Plasma XL	主天使定相等离子弹 XL
Domination Platinum Tag	主天使白金铭牌
Domination Praefectus	主天使集团 地方官
Domination Predator	主天使 猎捕者
Domination Primus	主天使集团 长者
Domination Proton L	主天使质子弹 L
Domination Proton M	主天使质子弹 M
Domination Proton S	主天使质子弹 S
Domination Proton XL	主天使质子弹 XL
Domination Quad 3500mm Siege Artillery	主天使四联3500mm会战火炮
Domination Quad 3500mm Siege Artillery Blueprint	主天使四联3500mm会战火炮蓝图
Domination Quad 800mm Repeating Cannon	主天使四联800mm频射加农炮
Domination Quad 800mm Repeating Cannon Blueprint	主天使四联800mm频射加农炮蓝图
Domination Raider	主天使 奇袭者
Domination Rapid Heavy Missile Launcher	主天使重型快速导弹发射器
Domination Rapid Light Missile Launcher	主天使轻型快速导弹发射器
Domination Rocket Launcher	主天使火箭发射器
Domination Rogue	主天使 无赖
Domination Ruffian	主天使 恶棍
Domination Saint	主天使 圣徒
Domination Seizer	主天使 猎犬
Domination Seraphim	主天使 撒拉弗
Domination Shatterer	主天使 粉碎者
Domination Shield Boost Amplifier	主天使护盾回充增量增效器
Domination Silver Tag	主天使银质铭牌
Domination Small Armor Repairer	主天使小型装甲维修器
Domination Small Artillery Battery	主天使小型火炮塔台
Domination Small Artillery Battery Blueprint	主天使小型火炮塔台蓝图
Domination Small AutoCannon Battery	主天使小型自动加农炮塔台
Domination Small Autocannon Battery Blueprint	主天使小型自动加农炮塔台蓝图
Domination Small Cap Battery	主天使小型电容器电池
Domination Small Proton Smartbomb	主天使小型质子立体炸弹
Domination Small Shield Booster	主天使小型护盾回充增量器
Domination Smasher	主天使 终级者
Domination Stasis Webification Battery	主天使停滞缠绕光束发射台
Domination Stasis Webification Battery Blueprint	主天使停滞网状光束发射台蓝图
Domination Stasis Webifier	主天使停滞缠绕光束
Domination Target Painter	主天使目标标记装置
Domination Target Painter Blueprint	主天使目标标记装置蓝图
Domination Thermal Dissipation Amplifier	主天使热能发散增效器
Domination Thermal Dissipation Field	主天使热能发散力场
Domination Thermal Plating	主天使热能附甲
Domination Throne	主天使 君主
Domination Thug	主天使 暴徒
Domination Titan	主天使泰坦
Domination Titanium Sabot L	主天使钛合金萨博弹 L
Domination Titanium Sabot M	主天使钛合金萨博弹 M
Domination Titanium Sabot S	主天使钛合金萨博弹 S
Domination Titanium Sabot XL	主天使钛合金萨博弹 XL
Domination Torpedo Launcher	主天使鱼雷发射器
Domination Tracking Enhancer	主天使索敌增强器
Domination Trasher	主天使 捣毁者
Domination Tribuni	主天使集团 护民官
Domination Tribunus	主天使集团 执政官
Domination Wang Chunger	主天使 王
Domination War General	主天使 战将
Domination Warlord	主天使 军阀
Domination Warp Disruptor	主天使跃迁扰断器
Domination Warp Scrambler	主天使跃迁扰频器
Domination X-Large Shield Booster	主天使超大型护盾回充增量器
Dominix	多米尼克斯级
Dominix (Roden)	多米尼克斯级 （莱登船业）
Dominix Blueprint	多米尼克斯级蓝图
Dominix Golden SKIN (Permanent)	多米尼克斯级黄金涂装（无限期）
Dominix Golden Serenity Only SKIN (30 Days)	多米尼克斯级黄金涂装（30天）
Dominix Golden Serenity Only SKIN (365 Days)	多米尼克斯级黄金涂装（365天）
Dominix Golden Serenity Only SKIN (7 Days)	多米尼克斯级黄金涂装（7天）
Dominix Golden Serenity Only SKIN (90 Days)	多米尼克斯级黄金涂装（90天）
Dominix Inner Zone Shipping SKIN (30 Days)	多米尼克斯级短途物流涂装（30天）
Dominix Inner Zone Shipping SKIN (365 Days)	多米尼克斯级短途物流涂装（365天）
Dominix Inner Zone Shipping SKIN (7 Days)	多米尼克斯级短途物流涂装（7天）
Dominix Inner Zone Shipping SKIN (90 Days)	多米尼克斯级短途物流涂装（90天）
Dominix Inner Zone Shipping SKIN (Permanent)	多米尼克斯级短途物流涂装（无限期）
Dominix Inner Zone Shipping Serenity Only SKIN (Permanent)	多米尼克斯级短途物流涂装（无限期）
Dominix Intaki Syndicate SKIN (30 Days)	多米尼克斯级印塔基涂装（30天）
Dominix Intaki Syndicate SKIN (365 Days)	多米尼克斯级印塔基涂装（365天）
Dominix Intaki Syndicate SKIN (7 Days)	多米尼克斯级印塔基涂装（7天）
Dominix Intaki Syndicate SKIN (90 Days)	多米尼克斯级印塔基涂装（90天）
Dominix Intaki Syndicate SKIN (Permanent)	多米尼克斯级印塔基涂装（无限期）
Dominix Intaki Syndicate Serenity Only SKIN (Permanent)	多米尼克斯级印塔基涂装（无限期）
Dominix Navy Issue	多米尼克斯级海军型
Dominix Navy Issue Blueprint	多米尼克斯级海军型蓝图
Dominix Navy Issue Intaki Syndicate SKIN (Permanent)	多米尼克斯级海军型印塔基涂装（无限期）
Dominix Navy Issue Intaki Syndicate Serenity Only SKIN (30 Days)	多米尼克斯级海军型印塔基涂装（30天）
Dominix Navy Issue Intaki Syndicate Serenity Only SKIN (365 Days)	多米尼克斯级海军型印塔基涂装（365天）
Dominix Navy Issue Intaki Syndicate Serenity Only SKIN (7 Days)	多米尼克斯级海军型印塔基涂装（7天）
Dominix Navy Issue Intaki Syndicate Serenity Only SKIN (90 Days)	多米尼克斯级海军型印塔基涂装（90天）
Dominix Navy Issue Intaki Syndicate Serenity Only SKIN (Permanent)	多米尼克斯级海军型印塔基涂装（无限期）
Dominix Navy Issue Sapphire Sungrazer SKIN (Permanent)	多米尼克斯级海军型蓝星掠日涂装（无限期）
Dominix Navy Issue YC119 Guardian's Gala 'Spirit' Edition SKIN (Permanent)	多米尼克斯级海军型YC119年守护者“派对精神”涂装（无限期）
Dominix Quafe Edition	多米尼克斯级酷菲版
Dominix Quafe Edition Blueprint	多米尼克斯级酷菲版蓝图
Dominix Quafe SKIN (30 Days)	多米尼克斯级酷菲涂装（30天）
Dominix Quafe SKIN (365 Days)	多米尼克斯级酷菲涂装（365天）
Dominix Quafe SKIN (7 Days)	多米尼克斯级酷菲涂装（7天）
Dominix Quafe SKIN (90 Days)	多米尼克斯级酷菲涂装（90天）
Dominix Quafe SKIN (Permanent)	多米尼克斯级酷菲涂装（无限期）
Dominix Quafe Serenity Only SKIN (Permanent)	多米尼克斯级酷菲涂装（无限期）
Dominix Serenity YC117 SKIN (30 Days)	多米尼克斯级YC117年涂装（30天）
Dominix Serenity YC117 SKIN (365 Days)	多米尼克斯级YC117年涂装（365天）
Dominix Serenity YC117 SKIN (7 Days)	多米尼克斯级YC117年涂装（7天）
Dominix Serenity YC117 SKIN (90 Days)	多米尼克斯级YC117年涂装（90天）
Dominix Serenity YC117 SKIN (Permanent)	多米尼克斯级YC117年涂装（无限期）
Dominix Serpentis SKIN (Permanent)	多米尼克斯级天蛇涂装（无限期）
Dominix Serpentis Serenity Only SKIN (30 Days)	多米尼克斯级天蛇涂装（30天）
Dominix Serpentis Serenity Only SKIN (365 Days)	多米尼克斯级天蛇涂装（365天）
Dominix Serpentis Serenity Only SKIN (7 Days)	多米尼克斯级天蛇涂装（7天）
Dominix Serpentis Serenity Only SKIN (90 Days)	多米尼克斯级天蛇涂装（90天）
Dominix Serpentis Serenity Only SKIN (Permanent)	多米尼克斯级天蛇涂装（无限期）
Dominix Valimor Legacy SKIN (Permanent)	多米尼克斯级瓦里莫遗产涂装（无限期）
Dominix Valimor Legacy Serenity Only SKIN (30 Days)	多米尼克斯级瓦里莫遗产涂装（30天）
Dominix Valimor Legacy Serenity Only SKIN (365 Days)	多米尼克斯级瓦里莫遗产涂装（365天）
Dominix Valimor Legacy Serenity Only SKIN (7 Days)	多米尼克斯级瓦里莫遗产涂装（7天）
Dominix Valimor Legacy Serenity Only SKIN (90 Days)	多米尼克斯级瓦里莫遗产涂装（90天）
Dominix Valimor Legacy Serenity Only SKIN (Permanent)	多米尼克斯级瓦里莫遗产涂装（无限期）
Dominix Wreck	多米尼克斯级残骸
Dominix YC119 Guardian's Gala 'Spirit' Edition SKIN (Permanent)	多米尼克斯级YC119年守护者“派对精神”涂装（无限期）
Don Rico's Head	多恩·瑞克的头颅
Don Rico's Henchman	多恩·瑞克的党羽
Don Rico's Pleasure Yacht	多恩·瑞克的娱乐游艇
Donut Holder	甜甜圈架
Doomsday Devices	末日武器装置
Doomsday Operation	末日武器操作技术
Doomsday Rapid Firing	末日武器快速发射
Dorga Roes	多咖鱼卵
Dorim Fatimar's Punisher	道瑞·法提马尔的惩罚者级
Dossier – Author Unknown	卷宗——作者不详
Dr. Castille's Data Core (Property of CreoDron)	卡斯蒂勒博士的数据核心（西顿工业所属财产）
Draben Kuvakei	德拉本·库瓦柯伊
Draclira Merlonne	德拉克里雅·梅隆
Draclira Merlonne's Tag	德拉克里雅·梅隆的铭牌
Draclira's Modified Adaptive Nano Plating	德拉克里雅氏改良型适应性纳米附甲
Draclira's Modified Armor EM Hardener	德拉克里雅氏改良型装甲电磁增强器
Draclira's Modified Armor Explosive Hardener	德拉克里雅氏改良型装甲爆炸增强器
Draclira's Modified Armor Kinetic Hardener	德拉克里雅氏改良型装甲动能增强器
Draclira's Modified Armor Thermal Hardener	德拉克里雅氏改良型装甲热能增强器
Draclira's Modified Cap Recharger	德拉克里雅氏改良型电容回充器
Draclira's Modified Capacitor Power Relay	德拉克里雅氏改良型电容能源继电器
Draclira's Modified Dual Heavy Beam Laser	德拉克里雅氏改良型双联重型集束激光器
Draclira's Modified EM Plating	德拉克里雅氏改良型电磁附甲
Draclira's Modified Energized Adaptive Nano Membrane	德拉克里雅氏改良型电压式适应性纳米薄膜
Draclira's Modified Energized EM Membrane	德拉克里雅氏改良型电压式电磁薄膜
Draclira's Modified Energized Explosive Membrane	德拉克里雅氏改良型电压式爆炸薄膜
Draclira's Modified Energized Kinetic Membrane	德拉克里雅氏改良型电压式动能薄膜
Draclira's Modified Energized Thermal Membrane	德拉克里雅氏改良型电压式热能薄膜
Draclira's Modified Explosive Plating	德拉克里雅氏改良型爆炸附甲
Draclira's Modified Heat Sink	德拉克里雅氏改良型散热槽
Draclira's Modified Heavy Capacitor Booster	德拉克里雅氏改良型重型电容注电器
Draclira's Modified Heavy Energy Neutralizer	德拉克里雅氏改良型重型能量中和器
Draclira's Modified Heavy Energy Nosferatu	德拉克里雅氏改良型重型掠能器
Draclira's Modified Kinetic Plating	德拉克里雅氏改良型动能附甲
Draclira's Modified Large Armor Repairer	德拉克里雅氏改良大型装甲维修器
Draclira's Modified Large EMP Smartbomb	德拉克里雅氏改良大型EMP立体炸弹
Draclira's Modified Mega Beam Laser	德拉克里雅氏改良型超级集束激光器
Draclira's Modified Power Diagnostic System	德拉克里雅氏改良型能源诊断系统
Draclira's Modified Reactor Control Unit	德拉克里雅氏改良型反应堆控制元件
Draclira's Modified Tachyon Beam Laser	德拉克里雅氏改良型超光速粒子集束激光器
Draclira's Modified Thermal Plating	德拉克里雅氏改良型热能附甲
Dragonfly Apis	蜻蜓无人机
Dragonfly Drone	蜻蜓无人机
Dragonfly I	蜻蜓 I
Dragonfly I Blueprint	蜻蜓蓝图 I
Dragonfly II	蜻蜓 II
Dragonfly II Blueprint	蜻蜓蓝图 II
Dragoon	龙骑兵级
Dragoon Blueprint	龙骑兵级蓝图
Dragoon Cold Iron SKIN (Permanent)	龙骑兵级白刃涂装（无限期）
Dragoon Cold Iron Serenity Only SKIN (30 Days)	龙骑兵级白刃涂装（30天）
Dragoon Cold Iron Serenity Only SKIN (365 Days)	龙骑兵级白刃涂装（365天）
Dragoon Cold Iron Serenity Only SKIN (7 Days)	龙骑兵级白刃涂装（7天）
Dragoon Cold Iron Serenity Only SKIN (90 Days)	龙骑兵级白刃涂装（90天）
Dragoon Cold Iron Serenity Only SKIN (Permanent)	龙骑兵级白刃涂装（无限期）
Dragoon Crimson Harvest YC118 SKIN (Permanent)	龙骑兵级YC118年血色收割涂装（无限期）
Dragoon Crimson Harvest YC118 Serenity Only SKIN (30 Days)	龙骑兵级YC118年血色收割涂装（30天）
Dragoon Crimson Harvest YC118 Serenity Only SKIN (365 Days)	龙骑兵级YC118年血色收割涂装（365天）
Dragoon Crimson Harvest YC118 Serenity Only SKIN (7 Days)	龙骑兵级YC118年血色收割涂装（7天）
Dragoon Crimson Harvest YC118 Serenity Only SKIN (90 Days)	龙骑兵级YC118年血色收割涂装（90天）
Dragoon Crimson Harvest YC118 Serenity Only SKIN (Permanent)	龙骑兵级YC118年血色收割涂装（无限期）
Dragoon EoM SKIN (Permanent)	龙骑兵级EoM涂装（无限期）
Dragoon EoM Serenity Only SKIN (30 Days)	龙骑兵级EoM涂装（30天）
Dragoon EoM Serenity Only SKIN (365 Days)	龙骑兵级EoM涂装（365天）
Dragoon EoM Serenity Only SKIN (7 Days)	龙骑兵级EoM涂装（7天）
Dragoon EoM Serenity Only SKIN (90 Days)	龙骑兵级EoM涂装（90天）
Dragoon EoM Serenity Only SKIN (Permanent)	龙骑兵级EoM涂装（无限期）
Dragoon Khanid SKIN (30 Days)	龙骑兵级卡尼迪涂装（30天）
Dragoon Khanid SKIN (365 Days)	龙骑兵级卡尼迪涂装（365天）
Dragoon Khanid SKIN (7 Days)	龙骑兵级卡尼迪涂装（7天）
Dragoon Khanid SKIN (90 Days)	龙骑兵级卡尼迪涂装（90天）
Dragoon Khanid SKIN (Permanent)	龙骑兵级卡尼迪涂装（无限期）
Dragoon Khanid Serenity Only SKIN (Permanent)	龙骑兵级卡尼迪涂装（无限期）
Dragoon Purity of the Throne SKIN (Permanent)	龙骑兵级圣洁王座涂装（无限期）
Dragoon Purity of the Throne Serenity Only SKIN (30 Days)	龙骑兵级圣洁王座涂装（30天）
Dragoon Purity of the Throne Serenity Only SKIN (365 Days)	龙骑兵级圣洁王座涂装（365天）
Dragoon Purity of the Throne Serenity Only SKIN (7 Days)	龙骑兵级圣洁王座涂装（7天）
Dragoon Purity of the Throne Serenity Only SKIN (90 Days)	龙骑兵级圣洁王座涂装（90天）
Dragoon Purity of the Throne Serenity Only SKIN (Permanent)	龙骑兵级圣洁王座涂装（无限期）
Dragoon Raata Sunset SKIN (Permanent)	龙骑兵级拉塔日落涂装（无限期）
Dragoon Raata Sunset Serenity Only SKIN (30 Days)	龙骑兵级拉塔日落涂装（30天）
Dragoon Raata Sunset Serenity Only SKIN (365 Days)	龙骑兵级拉塔日落涂装（365天）
Dragoon Raata Sunset Serenity Only SKIN (7 Days)	龙骑兵级拉塔日落涂装（7天）
Dragoon Raata Sunset Serenity Only SKIN (90 Days)	龙骑兵级拉塔日落涂装（90天）
Dragoon Raata Sunset Serenity Only SKIN (Permanent)	龙骑兵级拉塔日落涂装（无限期）
Dragoon Tash-Murkon SKIN (30 Days)	龙骑兵级塔什蒙贡涂装（30天）
Dragoon Tash-Murkon SKIN (365 Days)	龙骑兵级塔什蒙贡涂装（365天）
Dragoon Tash-Murkon SKIN (7 Days)	龙骑兵级塔什蒙贡涂装（7天）
Dragoon Tash-Murkon SKIN (90 Days)	龙骑兵级塔什蒙贡涂装（90天）
Dragoon Tash-Murkon SKIN (Permanent)	龙骑兵级塔什蒙贡涂装（无限期）
Dragoon Tash-Murkon Serenity Only SKIN (Permanent)	龙骑兵级塔什蒙贡涂装（无限期）
Dragoon YC119 Yoiul Festival 'Glacial Drift' Edition SKIN (Permanent)	龙骑兵级YC119年尤尔节“寒冰之痕”涂装（无限期）
Drake	幼龙级
Drake Blue Tiger SKIN (Permanent)	幼龙级蓝虎涂装（无限期）
Drake Blue Tiger Serenity Only SKIN (30 Days)	幼龙级蓝虎涂装（30天）
Drake Blue Tiger Serenity Only SKIN (365 Days)	幼龙级蓝虎涂装（365天）
Drake Blue Tiger Serenity Only SKIN (7 Days)	幼龙级蓝虎涂装（7天）
Drake Blue Tiger Serenity Only SKIN (90 Days)	幼龙级蓝虎涂装（90天）
Drake Blue Tiger Serenity Only SKIN (Permanent)	幼龙级蓝虎涂装（无限期）
Drake Blueprint	幼龙级蓝图
Drake IGC Victory SKIN (Permanent)	幼龙级独立竞技委员会胜利涂装（无限期）
Drake Matigu Seabeast SKIN (Permanent)	幼龙级玛提古海怪涂装（无限期）
Drake Matigu Seabeast Serenity Only SKIN (30 Days)	幼龙级玛提古海怪涂装（30天）
Drake Matigu Seabeast Serenity Only SKIN (365 Days)	幼龙级玛提古海怪涂装（365天）
Drake Matigu Seabeast Serenity Only SKIN (7 Days)	幼龙级玛提古海怪涂装（7天）
Drake Matigu Seabeast Serenity Only SKIN (90 Days)	幼龙级玛提古海怪涂装（90天）
Drake Matigu Seabeast Serenity Only SKIN (Permanent)	幼龙级玛提古海怪涂装（无限期）
Drake Navy Issue	幼龙级海军型
Drake Navy Issue Blueprint	幼龙级海军型蓝图
